"No","Column Name","Line No","Line Length","Intersection Grids","No Points","Points"
"1","C6 1000 x 300mm","","","","",""
"","","Line 4-1","3.28","","",""
"","","","","I","Point 2-1","(1785.213851053, 695.599579306, 0.000000000)"
"","","","","J","Point 2-2","(1783.049750747, 695.599579306, 0.000000000)"
"","","Line 4-2","0.98","","",""
"","","","","14","Point 1-1","(1782.343116145, 696.173726288, 0.000000000)"
"","","Line 4-3","3.28","","",""
"","","","","I","Point 2-1","(1785.213851053, 696.583831275, 0.000000000)"
"","","","","J","Point 2-2","(1783.049750747, 696.583831275, 0.000000000)"
"","","Line 4-4","0.98","","",""
"","","","","14","Point 1-1","(1785.623956040, 696.173726288, 0.000000000)"
"","Total Line Length","=","8.530183727034","","",""
"2","C6 1000 x 300mm","","","","",""
"","","Line 4-1","3.28","","",""
"","","","","B","Point 2-1","(1814.217729750, 695.599579306, 0.000000000)"
"","","","","C","Point 2-2","(1812.053553006, 695.599579306, 0.000000000)"
"","","Line 4-2","0.98","","",""
"","","","","14","Point 1-1","(1811.643448019, 696.173726288, 0.000000000)"
"","","Line 4-3","3.28","","",""
"","","","","B","Point 2-1","(1814.217729750, 696.583831275, 0.000000000)"
"","","","","C","Point 2-2","(1812.053553006, 696.583831275, 0.000000000)"
"","","Line 4-4","0.98","","",""
"","","","","14","Point 1-1","(1814.924287914, 696.173726288, 0.000000000)"
"","Total Line Length","=","8.530183727034","","",""
"3","C8 250X250X650/250X250X650mm","","","","",""
"","","Line 11-1","2.13","","",""
"","","Line 11-2","0.35","","",""
"","","Line 11-3","1.78","","",""
"","","Line 11-4","0.82","","",""
"","","","","A","Point 1-1","(1831.032034212, 698.716377206, 0.000000000)"
"","","Line 11-5","1.48","","",""
"","","Line 11-6","0.82","","",""
"","","Line 11-7","2.3","","",""
"","","","","14","Point 1-1","(1832.262349172, 696.173726288, 0.000000000)"
"","","Line 11-8","2.3","","",""
"","","","","A","Point 1-1","(1831.032034212, 694.943411327, 0.000000000)"
"","","Line 11-9","0.82","","",""
"","","Line 11-10","1.48","","",""
"","","Line 11-11","0.82","","",""
"","","","","14","Point 1-1","(1828.489383293, 696.173726288, 0.000000000)"
"","Total Line Length","=","15.0918635170605","","",""
"4","C8 250X250X650/250X250X650mm","","","","",""
"","","Line 14-1","2.13","","",""
"","","Line 14-2","0.16","","",""
"","","Line 14-3","0.19","","",""
"","","Line 14-4","1.78","","",""
"","","Line 14-5","0.82","","",""
